Sqft,Floor,TotalFloor,Bedroom,Living.Room,Bathroom,Price
4091.7,2,15,3,2,4,180000
1124.328,3,5,3,2,2,45000
1789.674,10,12,4,2,2,88000
1889.298,2,14,4,2,2,100000
2205.96,4,15,3,2,2,100000
1601.1,5,12,2,2,2,48000
1085.19,12,19,2,2,1,35000
1921.32,4,7,4,2,2,48000
1707.84,9,15,3,2,2,80000
2120.568,5,7,3,2,2,98000
2782.356,12,13,3,2,3,120000
914.406,2,4,2,2,1,37000
1850.16,16,18,4,2,3,82000
1889.298,2,14,4,2,2,100000
1245.3,2,5,3,2,2,35000
1494.36,2,7,2,2,2,49800
1487.244,6,7,4,2,2,33700
1690.05,7,14,3,2,2,40000
796.992,3,12,2,2,2,45000
3255.57,4,7,4,2,5,130000
1063.842,3,7,2,1,1,45000
1263.09,5,7,2,1,2,37000
1352.04,5,5,3,2,2,36000
1287.996,4,5,4,2,2,30000
1167.024,3,12,3,2,2,42000
1167.024,3,12,3,2,2,42000
1839.486,2,13,1,0,1,67000
796.992,3,12,2,2,1,45000
601.302,2,9,1,1,1,38000
2156.148,12,17,3,2,3,75000
2138.358,11,14,4,2,2,55000
1779.0,2,9,3,2,2,55000
1779.0,8,15,3,2,2,85000
1732.746,8,12,4,2,2,65000
526.584,13,17,2,1,1,29500
718.716,5,7,2,2,1,43000
1601.1,3,7,3,2,2,33500
1174.14,14,14,3,2,1,26000
1408.968,9,9,2,2,2,65999
1387.62,2,7,3,2,2,45000
604.86,3,12,1,1,1,23800
1380.504,6,13,3,2,2,49999
2134.8,2,13,1,2,2,58000
740.064,10,12,2,2,2,45000
1031.82,5,12,2,2,2,36000
1526.382,8,12,4,2,2,65000
1601.1,1,4,3,2,2,65000
1423.2,13,21,2,2,2,55000
384.264,2,9,1,1,1,35000
1996.038,5,12,3,2,2,75000
718.716,5,7,2,2,1,43000
1366.272,4,11,3,2,2,50000
1743.42,3,12,3,2,2,45000
1636.68,4,4,4,2,2,52000
1903.53,8,13,3,2,2,120000
668.904,5,6,2,1,1,28000
2430.114,12,25,4,2,2,110000
1298.67,7,7,2,2,1,57000
2138.358,11,14,4,2,2,55000
2963.814,2,25,4,2,2,95000
533.7,14,16,1,1,1,25000
2262.888,4,14,3,2,2,120000
590.628,8,9,1,2,1,45000
964.218,5,14,2,1,1,28000
796.992,3,12,2,2,2,45000
2408.766,6,13,4,2,3,80000
1700.724,13,21,2,2,2,55000
1672.26,3,7,3,2,2,75000
1469.454,6,7,2,2,2,75000
2067.198,4,14,4,2,2,100000
1754.094,3,7,3,2,2,75000
1757.652,4,16,4,2,2,55000
587.07,5,7,1,1,1,36000
1487.244,5,7,3,2,2,50000
1487.244,5,7,3,2,2,50000
789.876,7,9,1,1,1,42000
2006.712,3,7,4,2,2,68000
871.71,8,14,2,1,1,41999
1522.824,11,11,4,2,3,60000
3173.736,3,9,4,2,3,160000
1899.972,21,27,4,2,2,57000
2205.96,8,10,3,2,3,120000
1106.538,3,12,1,2,1,50000
2668.5,5,12,4,2,2,138888
882.384,10,14,1,1,1,48800
3255.57,4,7,4,2,5,120000
2138.358,6,7,3,2,2,43000
1579.752,4,15,3,1,2,99990
2768.124,8,19,3,2,2,60000
2081.43,10,17,2,2,2,68000
1700.724,13,21,2,2,2,55000
2134.8,6,7,3,2,2,43000
718.716,5,12,2,1,1,34800
754.296,5,7,2,1,1,80000
1387.62,2,7,3,2,2,45000
3558.0,1,5,2,2,2,63000
1515.708,2,7,2,2,2,49800
914.406,12,12,3,2,2,36000
711.6,8,14,1,1,1,36000
1487.244,2,6,2,2,2,48000
2138.358,6,7,3,2,2,43000
1127.886,4,5,3,2,2,26000
1135.002,2,7,3,2,1,37000
665.346,6,7,1,1,1,25000
925.08,2,4,2,2,1,36000
1209.72,3,4,3,2,2,38000
1337.808,8,19,3,2,2,60000
1366.272,4,11,4,2,2,49999
2052.966,6,7,4,2,2,77999
711.6,8,14,1,1,1,36000
533.7,7,12,1,1,1,17000
1138.56,4,5,3,2,2,26000
1458.78,4,12,3,2,2,36000
1245.3,5,7,2,2,2,37000
1814.58,6,14,4,2,2,90000
1515.708,4,7,2,2,2,88000
811.224,5,12,2,1,1,43500
359.358,12,12,1,1,1,26000
1882.182,6,7,3,2,2,55000
1419.642,6,12,4,2,2,50000
1394.736,12,12,2,2,1,45000
2063.64,3,6,4,2,3,88000
1661.586,10,12,1,1,1,50000
3504.63,13,14,2,2,2,250000
1871.508,8,9,3,2,2,88000
640.44,14,14,1,1,1,43000
2430.114,5,25,3,2,2,88000
1519.266,2,7,2,2,2,49800
761.412,8,13,1,1,1,26000
1903.53,8,13,2,2,2,120000
1163.466,3,7,3,2,2,45000
1779.0,4,4,4,2,2,51999
1579.752,10,12,4,1,1,65000
3145.272,2,25,4,2,2,98000
3148.83,2,25,4,2,2,98000
2700.522,15,21,5,2,4,100000
3664.74,9,13,5,1,2,206000
2134.8,2,6,3,2,2,68000
1700.724,13,21,2,2,2,55000
1380.504,6,13,3,2,2,49800
2052.966,5,7,4,2,2,77999
1871.508,11,12,4,2,2,49999
1430.316,2,7,4,2,2,44999
1579.752,4,15,3,1,2,99999
1672.26,4,15,3,2,2,58000
1270.206,3,14,2,2,1,42000
1245.3,3,12,1,2,1,35000
1458.78,4,6,2,1,2,65000
1707.84,1,5,2,2,2,37000
1515.708,2,7,2,2,2,48800
1408.968,3,4,4,2,2,39999
1476.57,6,6,3,2,2,49999
1700.724,13,21,2,2,2,55000
2590.224,7,7,4,3,3,77999
2408.766,4,14,4,2,2,74999
1779.0,10,10,3,2,2,90000
2099.22,4,8,3,2,2,63000
1206.162,7,7,2,2,1,59500
989.124,13,13,2,2,1,45000
3173.736,3,9,3,2,3,160000
2444.346,7,15,4,2,3,73000
722.274,11,13,2,1,1,36000
1707.84,3,14,3,2,2,65000
1444.548,6,7,2,2,1,53000
2892.654,19,21,5,3,4,170000
711.6,5,7,2,2,1,43000
1423.2,13,21,2,2,2,55000
1494.36,2,7,2,2,2,48800
2184.612,2,9,3,2,2,80000
601.302,2,9,1,1,1,35000
3558.0,1,7,3,2,2,160000
2102.778,6,12,3,2,2,70000
1138.56,3,4,3,2,2,40000
1579.752,3,12,5,1,1,56000
1135.002,7,12,3,2,1,40000
640.44,2,7,2,1,1,38000
1515.708,2,6,3,2,2,68000
747.18,9,12,2,2,1,60000
754.296,5,14,2,2,1,32000
2134.8,11,12,2,2,2,58000
1490.802,3,12,2,1,2,59888
1231.068,2,7,3,2,2,38888
370.032,4,7,1,1,1,24888
772.086,6,7,2,2,1,39000
1622.448,1,6,3,2,2,130000
925.08,2,4,2,1,1,31999
818.34,5,9,1,2,1,42000
1384.062,6,13,3,2,2,49800
540.816,5,11,1,1,1,29500
2561.76,10,17,4,2,3,100000
1992.48,5,7,4,2,3,55000
1031.82,11,14,3,2,2,61000
2063.64,2,17,3,2,3,85000
2312.7,7,16,5,2,3,55000
2383.86,2,7,3,2,2,70000
2134.8,5,7,4,2,2,78000
2134.8,3,6,4,2,3,98000
1423.2,3,12,3,2,2,50000
1739.862,1,25,3,1,1,65000
1191.93,3,7,3,2,2,55000
711.6,6,14,1,1,1,39000
658.23,4,4,1,1,1,22000
537.258,22,26,1,0,1,19000
1515.708,4,7,2,2,2,88000
1732.746,8,12,4,2,2,65000
640.44,8,9,1,2,1,45000
925.08,2,4,2,1,1,31800
718.716,5,12,2,2,1,34800
426.96,9,12,1,0,1,13000
658.23,9,12,2,2,1,46000
1501.476,4,4,4,2,2,52000
1771.884,4,7,4,2,2,57000
1167.024,2,12,3,2,2,38000
1252.416,8,12,3,2,2,40000
1697.166,3,12,4,2,2,75000
1167.024,2,12,3,2,2,43000
2184.612,4,14,3,2,2,63000
2170.38,9,15,4,2,2,110000
1857.276,2,7,4,2,2,65000
1996.038,5,12,3,2,2,70000
1359.156,7,16,3,2,2,45000
1586.868,3,7,3,2,2,44000
2312.7,7,15,4,2,2,70000
2227.308,2,5,5,2,2,100000
893.058,8,14,2,2,1,38000
1440.99,6,7,2,2,1,55000
1263.09,5,7,2,2,2,37000
1099.422,2,7,4,2,2,58500
3255.57,4,7,4,2,5,120000
1540.614,6,14,4,2,2,69000
1366.272,10,12,3,2,2,41000
1152.792,10,12,2,2,2,45000
1544.172,10,12,4,2,2,98000
1910.646,6,7,4,2,2,75000
718.716,5,12,2,2,1,35000
1487.244,6,7,3,2,2,33700
1312.902,4,13,3,2,2,41000
1255.974,4,16,3,2,2,40000
2255.772,2,25,3,2,2,80000
2052.966,5,7,4,2,2,78000
1188.372,2,14,3,2,2,36000
604.86,5,5,2,0,1,11900
889.5,3,4,2,2,1,29800
1067.4,1,6,3,2,2,35000
1138.56,6,10,2,1,2,33000
925.08,4,13,2,2,1,32000
711.6,6,9,2,2,1,42000
925.08,2,4,3,1,1,34500
925.08,4,13,2,2,1,32000
523.026,2,12,1,1,1,29000
1529.94,2,12,2,2,1,58000
836.13,8,12,2,1,1,35000
789.876,7,9,1,1,1,42000
1885.74,6,7,3,2,2,54999
2782.356,12,13,3,2,3,123456
711.6,5,7,3,2,2,28000
469.656,7,7,1,1,1,34000
793.434,11,14,2,1,1,40000
1565.52,2,6,3,2,1,45000
1366.272,4,11,4,2,2,50000
1914.204,17,21,3,2,2,88000
1889.298,2,14,4,2,2,100000
1956.9,6,7,4,2,3,85000
1992.48,4,15,3,2,2,99888
3187.968,6,7,3,2,2,168000
925.08,2,18,1,2,1,51000
1067.4,4,7,3,2,2,31000
1352.04,17,24,3,2,2,85000
2063.64,15,15,3,2,2,110000
796.992,3,12,2,2,2,45000
949.986,5,12,2,1,1,43000
2910.444,4,7,3,2,3,90000
3010.068,4,11,3,2,2,185000
768.528,6,7,1,1,1,45000
772.086,3,7,2,2,1,28000
1423.2,3,7,3,2,2,68000
1380.504,2,12,3,2,2,42000
448.308,2,12,1,1,1,17000
1971.132,2,6,4,2,2,53000
2052.966,5,7,4,2,2,78000
1127.886,11,12,3,2,2,150000
3241.338,7,7,2,2,3,99999
1892.856,9,12,3,2,2,119999
2138.358,4,7,4,2,3,100000
1423.2,2,7,4,1,2,45000
1754.094,3,7,4,2,2,48000
925.08,2,4,2,2,1,36000
1352.04,4,11,4,2,2,50000
889.5,5,5,2,1,1,24000
640.44,2,5,1,1,1,28000
1423.2,3,4,4,2,2,39000
651.114,8,11,3,2,2,36000
1391.178,1,7,1,3,3,50000
1487.244,6,7,3,2,2,36000
1700.724,13,21,2,2,2,55000
1515.708,6,7,4,2,2,50000
1206.162,7,7,2,2,1,57000
2052.966,5,7,4,2,2,78000
1298.67,7,7,2,2,1,59500
1444.548,2,5,4,2,2,45000
2067.198,4,14,4,2,2,100000
1227.51,2,7,3,2,2,39000
1494.36,4,4,3,2,2,36000
1366.272,4,11,4,2,2,50000
2298.468,14,18,4,2,2,135000
925.08,7,10,1,2,1,28000
3842.64,15,16,3,1,2,200000
1889.298,2,14,4,2,2,105000
2063.64,3,6,4,2,2,98000
1544.172,10,12,4,2,2,98000
1273.764,5,13,3,2,2,57000
1579.752,4,15,3,2,2,100000
1672.26,10,12,2,1,2,45000
1227.51,5,12,2,2,2,45000
1401.852,2,6,3,2,3,60000
569.28,9,9,2,2,1,32000
2173.938,5,7,4,2,2,60000
2213.076,2,14,4,2,2,108000
2063.64,4,14,4,2,2,100000
1707.84,9,15,3,2,2,80000
900.174,4,7,2,2,2,88000
1465.896,6,7,2,2,2,80000
1316.46,4,13,3,2,2,45000
740.064,6,14,1,1,1,38800
754.296,2,9,1,1,1,35000
1647.354,10,14,2,2,2,55000
811.224,5,12,2,1,1,43500
1487.244,8,12,4,2,2,38000
1494.36,1,4,4,2,3,150000
2914.002,5,15,3,2,2,110000
1665.144,7,12,4,2,2,48000
1732.746,8,12,4,2,2,72000
853.92,8,14,2,1,1,42000
1885.74,6,7,4,2,2,75000
889.5,11,13,2,2,2,49998
2455.02,12,25,4,2,2,110000
1067.4,6,9,4,2,2,50000
1102.98,2,9,3,2,2,50000
3024.3,9,13,3,2,2,158000
1102.98,2,4,3,1,2,26000
1725.63,4,12,3,2,2,45000
985.566,8,14,2,2,1,28000
1102.98,3,7,3,2,2,35000
1885.74,7,12,3,1,2,77000
2028.06,12,12,5,1,1,89000
540.816,5,11,2,1,1,28500
590.628,8,9,2,1,1,45000
2170.38,9,15,4,2,2,110000
1992.48,5,12,3,2,2,70000
960.66,4,5,3,2,2,33000
843.246,2,18,1,1,1,51500
1889.298,18,21,3,2,2,69500
1487.244,6,7,3,1,2,36000
587.07,5,7,1,1,1,36000
1384.062,6,13,3,2,2,50000
818.34,4,5,3,2,1,21000
711.6,1,4,2,2,3,42000
1074.516,7,10,3,1,2,35000
391.38,7,14,1,2,1,25000
1889.298,2,14,4,2,2,100000
1031.82,4,16,3,2,2,40000
1921.32,3,7,4,2,2,55000
1387.62,4,4,3,2,2,40000
1352.04,9,14,3,2,2,50000
1433.874,5,6,3,2,2,47000
462.54,13,14,1,1,1,20000
3775.038,11,11,3,3,3,150000
996.24,2,5,3,2,1,28000
441.192,3,6,1,2,1,40000
1757.652,6,7,4,2,3,65000
1974.69,6,17,4,2,2,70000
711.6,5,7,2,2,1,43000
1825.254,5,7,3,2,2,60000
1814.58,6,14,4,2,3,85000
1426.758,3,12,3,2,2,48120
469.656,9,12,1,1,1,35000
1149.234,10,12,3,2,1,50000
2309.142,16,21,4,2,4,138000
1102.98,2,4,2,1,2,31000
782.76,3,5,2,1,1,30000
1352.04,9,13,3,2,2,48000
1494.36,6,7,4,1,2,60000
1245.3,5,6,3,2,2,40000
1529.94,2,7,4,2,2,45000
1569.078,10,12,2,2,2,58000
1352.04,2,4,4,2,2,30000
2141.916,7,19,4,2,2,77000
1565.52,1,5,3,2,3,80000
1885.74,2,7,4,2,2,55000
1761.21,3,6,3,2,2,45000
1761.21,3,6,4,2,2,45000
889.5,11,18,2,2,1,30500
2668.5,5,12,4,2,2,138888
1334.25,5,11,3,2,2,38000
925.08,1,4,2,2,1,36000
878.826,10,14,1,1,1,47999
1067.4,3,12,3,2,1,35000
1423.2,11,12,2,2,2,38000
1419.642,3,7,3,2,2,45000
711.6,5,5,2,2,1,22000
718.716,5,12,2,2,1,35000
1956.9,9,12,4,2,2,90000
1544.172,10,12,4,2,2,98000
2383.86,1,7,5,3,3,60000
2081.43,10,17,3,2,2,68000
711.6,6,6,2,1,1,17000
700.926,7,11,2,1,1,40000
1181.256,1,4,3,2,2,52000
498.12,11,14,2,1,1,40000
5856.468,7,21,6,2,5,180000
1245.3,8,8,3,2,2,23000
868.152,3,5,3,2,1,26000
533.7,7,7,1,1,1,28800
693.81,2,7,1,1,1,33000
1576.194,3,7,4,2,2,44000
5760.402,9,15,3,2,3,170000
796.992,3,12,2,2,1,45000
2052.966,5,7,4,2,2,78000
1163.466,2,7,3,2,2,38000
1316.46,4,15,3,2,2,45000
1099.422,4,12,2,2,1,38800
1480.128,4,7,2,2,2,99999
2739.66,5,21,4,2,2,150000
800.55,3,4,2,2,1,43000
676.02,6,7,2,1,1,45000
964.218,4,4,3,2,1,32000
1832.37,9,16,4,2,2,69000
782.76,10,14,1,0,1,31000
1551.288,5,5,4,2,2,59800
1102.98,2,4,2,2,2,31000
989.124,9,12,3,2,2,42000
711.6,9,14,2,1,1,27000
1458.78,6,7,3,2,2,36000
1359.156,7,16,3,2,2,45000
2063.64,5,9,4,2,2,60000
846.804,14,14,2,2,1,29000
1458.78,21,27,3,2,2,60000
1127.886,4,5,3,2,2,26000
1355.598,5,19,2,2,2,69999
1892.856,5,12,4,2,2,129999
1031.82,3,6,3,2,2,21000
1707.84,5,7,3,2,2,50000
640.44,9,12,2,1,1,45000
1014.03,8,11,3,2,2,36000
1067.4,6,14,3,2,1,43000
711.6,8,12,1,2,1,30000
996.24,4,5,3,2,1,6100
2134.8,3,6,4,2,3,98000
1647.354,11,14,4,2,2,55000
1138.56,3,12,3,2,2,42000
889.5,5,9,1,1,1,43000
711.6,8,14,1,1,1,36000
1857.276,2,14,3,2,2,45000
1102.98,6,7,3,2,2,65000
925.08,2,4,2,1,1,32000
2312.7,11,14,3,2,2,99999
925.08,4,9,3,2,2,45000
711.6,1,1,3,1,1,12000
4198.44,15,19,7,3,4,180000
3095.46,1,6,4,2,3,100000
2590.224,5,15,3,2,3,110000
1885.74,8,13,3,2,2,120000
1245.3,1,14,3,2,2,55000
1174.14,10,12,3,2,2,41000
1458.78,6,7,2,2,2,75000
1305.786,9,12,3,2,2,42000
1316.46,12,12,3,2,2,45000
1167.024,2,12,3,2,2,38000
996.24,3,5,3,1,1,28000
1099.422,2,7,4,2,2,57777
2042.292,6,18,2,2,2,82000
843.246,2,18,1,1,1,53000
1889.298,18,21,3,2,2,70000
1266.648,6,7,3,2,2,40000
1707.84,9,9,4,2,2,60000
1707.84,9,15,3,2,2,80000
2846.4,5,12,4,2,2,138888
1359.156,7,15,3,2,2,45000
377.148,4,10,1,1,1,24800
740.064,13,14,1,1,1,45000
1707.84,3,14,3,2,2,65000
1376.946,6,7,3,2,1,36000
